sampleID	family_number	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy	marker_lineage	number_genomes	number_markers	number_marker_sets	completeness	contamination	strain_heterogeneity	genome_size_bp	number_ambiguous_bases	number_scaffolds	number_contigs	n50_scaffolds	n50_contigs	mean_scaffold_length_bp	mean_contig_length_bp	longest_scaffold_bp	longest_contig_bp	gc	gc_std_scaffolds_1kbp	coding_density	translation_table	number_predicted_genes	x0	x1	x2	x3	x4	x5	genome	parent	class	order	family	genus	species
AS031	78	contig00004	contig00004 len=434034 cov=35.4 corr=0 origname=NODE_4_length_434034_cov_35.387278_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	876	305	99.28	0.33	0	3968840	0	55	55	470326	470326	72160	72160	1650167	1650167	56.4	5.07	87.7	11	3646	3	872	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea eucrina
AS126	78	contig00002	contig00002 len=407278 cov=35.6 corr=0 origname=NODE_2_length_407278_cov_35.570311_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	876	305	99.28	0.33	0	3844711	0	79	79	407278	407278	48667	48667	1774414	1774414	56	1.91	87.54	11	3557	3	872	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea eucrina_A
AS129	85	contig00004	contig00004 len=440870 cov=45.3 corr=0 origname=NODE_4_length_440870_cov_45.325765_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	875	305	100	0.19	0	4887144	0	70	70	649680	649680	69816	69816	2129047	2129047	55.1	1.42	86.5	11	4494	0	873	2	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans
HN003	85	contig00004	contig00004 len=444718 cov=41.1 corr=0 origname=NODE_4_length_444718_cov_41.144728_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	875	305	100	0.68	0	5071515	0	75	75	348912	348912	67620	67620	538138	538138	54.9	2.53	86.03	11	4728	0	870	5	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans
AS139	94	contig00008	contig00008 len=190774 cov=47.8 corr=0 origname=NODE_8_length_190774_cov_47.797234_pilon sw=shovill-spades/1.1.0 date=20220624	hserlactone	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	875	305	100	0.44	0	4828431	0	89	89	432218	432218	54252	54252	1049147	1049147	55	1.19	86.66	11	4436	0	871	4	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans
AS142	103	contig00015	contig00015 len=100387 cov=55.8 corr=0 origname=NODE_15_length_100387_cov_55.848418_pilon sw=shovill-spades/1.1.0 date=20220624	butyrolactone	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	875	305	100	0.3	0	4699479	0	62	62	303619	303619	75798	75798	1009145	1009145	54.3	2.39	85.65	11	4387	0	872	3	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	NA
AS167	106	contig00021	contig00021 len=33005 cov=38.3 corr=0 origname=NODE_21_length_33005_cov_38.339332_pilon sw=shovill-spades/1.1.0 date=20220624	NI-siderophore	Others	NA	NA	f__Moraxellaceae (UID4680)	86	689	365	99.93	1.23	0	4370714	0	95	95	371111	371111	46007	46007	699781	699781	37.7	4.83	84.13	11	4058	1	682	6	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
AS209	120	contig00002	contig00002 len=372000 cov=36.7 corr=0 origname=NODE_2_length_372000_cov_36.730054_pilon sw=shovill-spades/1.1.0 date=20220828	arylpolyene	Others	NA	NA	f__Enterobacteriaceae (UID5121)	138	1162	336	99.99	1.05	0	5219086	0	127	127	203830	203830	41095	41095	492818	492818	55.7	5.77	87.42	11	4870	1	1152	9	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella ornithinolytica
AS230	120	contig00004	contig00004 len=485718 cov=41.5 corr=0 origname=NODE_4_length_485718_cov_41.468702_pilon sw=shovill-spades/1.1.0 date=20220828	arylpolyene	Others	NA	NA	f__Enterobacteriaceae (UID5121)	138	1158	336	100	0.39	0	5216318	0	71	71	712980	712980	73469	73469	1193496	1193496	54.9	1.42	88.71	11	4883	0	1155	3	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
USHLN157	120	contig00019	contig00019 len=137135 cov=36.8 corr=0 origname=NODE_19_length_137135_cov_36.777754_pilon sw=shovill-spades/1.1.0 date=20220828	arylpolyene	Others	NA	NA	f__Enterobacteriaceae (UID5121)	138	1162	336	100	0.72	12.5	6104761	0	164	164	186635	186635	37224	37224	607148	607148	56	4.18	87.97	11	5723	0	1154	8	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis
USHLN16	120	contig00018	contig00018 len=121709 cov=33.1 corr=0 origname=NODE_18_length_121709_cov_33.111244_pilon sw=shovill-spades/1.1.0 date=20220627	arylpolyene	Others	NA	NA	f__Enterobacteriaceae (UID5121)	138	1162	336	100	0.99	10	6156243	0	123	123	277711	277711	50050	50050	883872	883872	55.9	3.66	88.09	11	5741	0	1152	10	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis
AS218	146	contig00003	contig00003 len=327557 cov=47.7 corr=0 origname=NODE_3_length_327557_cov_47.659987_pilon sw=shovill-spades/1.1.0 date=20220828	RiPP-like.T3PKS	Others	NA	NA	c__Bacilli (UID285)	586	324	180	99.44	1.39	0	2809345	0	59	59	330405	330405	47616	47616	1347996	1347996	32.6	5.35	84.1	11	2638	1	320	3	0	0	0	Isolate assembled genome	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
AS218	147	contig00004	contig00004 len=214568 cov=57.5 corr=0 origname=NODE_4_length_214568_cov_57.473181_pilon sw=shovill-spades/1.1.0 date=20220828	opine-like-metallophore.terpene	Others	NA	NA	c__Bacilli (UID285)	586	324	180	99.44	1.39	0	2809345	0	59	59	330405	330405	47616	47616	1347996	1347996	32.6	5.35	84.1	11	2638	1	320	3	0	0	0	Isolate assembled genome	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
AS222	156	contig00003	contig00003 len=558297 cov=37.0 corr=0 origname=NODE_3_length_558297_cov_37.032808_pilon sw=shovill-spades/1.1.0 date=20220828	NRP-metallophore.NRPS	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.81	0	0	5207442	0	53	53	1225085	1225085	98253	98253	1712926	1712926	59.9	3.81	87.75	11	4800	6	540	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens_K
USHLN08	156	contig00004	contig00004 len=568010 cov=33.0 corr=0 origname=NODE_4_length_568010_cov_32.950984_pilon sw=shovill-spades/1.1.0 date=20220627	NRP-metallophore.NRPS	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.81	0.07	0	5257300	0	61	61	568010	568010	86185	86185	1161219	1161219	59.7	4.27	87.84	11	4874	6	539	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
USMM084	156	contig00014	contig00014 len=101060 cov=47.3 corr=0 origname=NODE_14_length_101060_cov_47.345957_pilon sw=shovill-spades/1.1.0 date=20221108	NRP-metallophore.NRPS	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.8	0.45	0	5183938	0	72	72	485555	485555	71999	71999	976936	976936	59.9	3.12	87.73	11	4796	7	538	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
USMM085	156	contig00014	contig00014 len=101060 cov=43.9 corr=0 origname=NODE_14_length_101060_cov_43.932798_pilon sw=shovill-spades/1.1.0 date=20221108	NRP-metallophore.NRPS	Others	NA	NA	f__Enterobacteriaceae (UID5066)	55	546	224	99.8	0.45	0	5183936	0	74	74	485555	485555	70053	70053	978356	978356	59.9	3.29	87.74	11	4800	7	538	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
AS224	163	contig00003	contig00003 len=542172 cov=55.2 corr=0 origname=NODE_3_length_542172_cov_55.201095_pilon sw=shovill-spades/1.1.0 date=20220828	T3PKS.NI-siderophore	Others	NA	NA	c__Bacilli (UID285)	586	325	181	99.45	2.39	0	2709902	0	29	29	574332	574332	93444	93444	936615	936615	32.5	7.93	88.9	11	2682	1	320	3	1	0	0	Isolate assembled genome	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus sciuri
AS230	169	contig00008	contig00008 len=249578 cov=37.1 corr=0 origname=NODE_8_length_249578_cov_37.120782_pilon sw=shovill-spades/1.1.0 date=20220828	ladderane	Others	NA	NA	f__Enterobacteriaceae (UID5121)	138	1158	336	100	0.39	0	5216318	0	71	71	712980	712980	73469	73469	1193496	1193496	54.9	1.42	88.71	11	4883	0	1155	3	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
AS231	170	contig00004	contig00004 len=236790 cov=38.1 corr=0 origname=NODE_4_length_236790_cov_38.084148_pilon sw=shovill-spades/1.1.0 date=20220828	NRP-metallophore.NRPS	Others	NA	NA	f__Enterobacteriaceae (UID5139)	119	1169	340	99.9	0.07	0	4685577	0	110	110	201213	201213	42596	42596	465200	465200	52.2	2.64	87.3	11	4418	1	1166	2	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
AS234	172	contig00001	contig00001 len=1304351 cov=36.1 corr=0 origname=NODE_1_length_1304351_cov_36.060839_pilon sw=shovill-spades/1.1.0 date=20220828	betalactone	Others	NA	NA	c__Gammaproteobacteria (UID4442)	899	312	185	100	0	0	3974261	0	56	56	247386	247386	70968	70968	1304351	1304351	37.9	5.15	85.65	11	3628	0	312	0	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus cibarius
BGC0000888	1287	BGC0000888	"Bacillus sp. CS93 bacilysin biosynthetic gene cluster, partial sequence"	other	Others	Bacillus sp. CS93	"Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BGC0001184	1287	BGC0001184	"Bacillus amyloliquefaciens subsp. plantarum str. FZB42, complete genome"	other	Others	Bacillus velezensis FZB42	"Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens group"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
USHLN188	1287	contig00002	contig00002 len=1090313 cov=35.0 corr=0 origname=NODE_2_length_1090313_cov_35.040784_pilon sw=shovill-spades/1.1.0 date=20220829	other	Others	NA	NA	g__Bacillus (UID865)	36	1200	269	99.81	1.36	20	4182381	0	47	47	1090313	1090313	88986	88986	1653928	1653928	43.6	4.53	88.79	11	4189	1	1189	10	0	0	0	Isolate assembled genome	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
USHLN190	1287	contig00001	contig00001 len=1090313 cov=39.8 corr=0 origname=NODE_1_length_1090313_cov_39.762275_pilon sw=shovill-spades/1.1.0 date=20220829	other	Others	NA	NA	g__Bacillus (UID865)	36	1200	269	99.81	1.36	20	4180961	0	41	41	1070717	1070717	101974	101974	1090313	1090313	43.6	5.91	88.79	11	4184	1	1189	10	0	0	0	Isolate assembled genome	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
BGC0001572	1634	BGC0001572	"Pantoea agglomerans strain B025670 desferrioxamine E biosynthetic gene cluster, complete sequence"	siderophore	Others	Pantoea agglomerans	"Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea agglomerans group"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
USHLN010	1634	contig00005	contig00005 len=292990 cov=38.3 corr=0 origname=NODE_5_length_292990_cov_38.331724_pilon sw=shovill-spades/1.1.0 date=20221107	NI-siderophore	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	874	305	99.67	0.55	0	4926074	0	41	41	2577902	2577902	120148	120148	2577902	2577902	52.9	1.58	87.15	11	4428	1	868	5	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rouxiella	Rouxiella badensis
USHLN148	1634	contig00004	contig00004 len=430043 cov=46.2 corr=0 origname=NODE_4_length_430043_cov_46.214018_pilon sw=shovill-spades/1.1.0 date=20221107	NI-siderophore	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	875	305	100	0.55	0	4598558	0	50	50	582520	582520	91971	91971	1253094	1253094	57	1.21	86.97	11	4222	0	871	4	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea anthophila
USHLN298	1634	contig00005	contig00005 len=484699 cov=44.4 corr=0 origname=NODE_5_length_484699_cov_44.429206_pilon sw=shovill-spades/1.1.0 date=20221108	NI-siderophore	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	874	303	100	0.41	0	4776404	0	46	46	575499	575499	103834	103834	971467	971467	56	1.33	86.62	11	4304	0	872	1	1	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea sp002434205
USMM080	1634	contig00004	contig00004 len=437528 cov=45.5 corr=0 origname=NODE_4_length_437528_cov_45.545335_pilon sw=shovill-spades/1.1.0 date=20221108	NI-siderophore	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	875	305	100	0.08	0	4566460	0	48	48	567296	567296	95134	95134	1968458	1968458	56.9	1.68	87.31	11	4185	0	874	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea anthophila
USMM081	1634	contig00004	contig00004 len=437528 cov=43.4 corr=0 origname=NODE_4_length_437528_cov_43.425532_pilon sw=shovill-spades/1.1.0 date=20221108	NI-siderophore	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	875	305	100	0.08	0	4407586	0	37	37	567296	567296	119123	119123	1968458	1968458	57	1.57	87.5	11	4051	0	874	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea anthophila
USMM101	1634	contig00004	contig00004 len=517010 cov=39.7 corr=0 origname=NODE_4_length_517010_cov_39.662876_pilon sw=shovill-spades/1.1.0 date=20221108	NI-siderophore	Others	NA	NA	f__Enterobacteriaceae (UID5054)	223	875	305	100	0.08	0	4769626	0	52	52	582192	582192	91723	91723	1574629	1574629	56.6	3.69	86.71	11	4420	0	874	1	0	0	0	Isolate assembled genome	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea anthophila
CR11	2674	contig00002	contig00002 len=800477 cov=12.9 corr=0 origname=NODE_2_length_800477_cov_12.865368_pilon sw=shovill-spades/1.1.0 date=20220624	terpene.T3PKS	Others	NA	NA	g__Staphylococcus (UID298)	56	805	176	99.38	0.65	0	2219645	0	49	49	800477	800477	45298	45298	989688	989688	31.4	7.36	86.16	11	2158	5	798	2	0	0	0	Isolate assembled genome	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis
CR41	2678	contig00004	contig00004 len=177928 cov=15.1 corr=0 origname=NODE_4_length_177928_cov_15.134207_pilon sw=shovill-spades/1.1.0 date=20220624	opine-like-metallophore	Others	NA	NA	g__Staphylococcus (UID294)	60	773	178	99.11	0.37	0	2578191	0	149	149	96436	96436	17303	17303	340121	340121	32	4.16	83.27	11	2505	3	768	2	0	0	0	Isolate assembled genome	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
CR42	2678	contig00002	contig00002 len=147278 cov=6.8 corr=0 origname=NODE_2_length_147278_cov_6.774126_pilon sw=shovill-spades/1.1.0 date=20220624	opine-like-metallophore	Others	NA	NA	g__Staphylococcus (UID294)	60	773	178	99.11	0.37	0	2579930	0	216	216	61727	61727	11944	11944	197956	197956	32	3.49	83.35	11	2541	3	768	2	0	0	0	Isolate assembled genome	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
