BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000091	BGC0000091	Streptomyces sp. CNQ-617 marineosin biosynthetic gene cluster, complete sequence	T1PKS.NRPS-like.prodigiosin	PKS-NRP_Hybrids	Streptomyces sp. CNQ-617	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000106	BGC0000106	Streptomyces sp. CS naphthomycin biosynthetic gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces sp. CS	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000108	BGC0000108	Streptomyces chattanoogensis strain L10 natamycin biosynthetic gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces chattanoogensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000122	BGC0000122	Nannocystis pusilla strain B150 phenylnannolone gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Nannocystis pusilla	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystineae,Nannocystaceae,Nannocystis
BGC0000125	BGC0000125	Streptomyces natalensis pimaricin biosynthetic gene cluster	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces natalensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000136	BGC0000136	Amycolatopsis mediterranei rifamycin biosynthetic gene cluster	T1PKS.NRPS-like	PKS-NRP_Hybrids	Amycolatopsis mediterranei S699	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000137	BGC0000137	Salinispora arenicola CNS-205, complete genome	T1PKS.NRPS-like	PKS-NRP_Hybrids	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000138	BGC0000138	Streptomyces diastaticus polyketide rim gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces diastaticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces diastaticus group
BGC0000145	BGC0000145	Salinispora tropica strain CNB-476 salinosporamide A biosynthetic gene cluster, partial sequence	transAT-PKS-like.T1PKS.NRPS-like	PKS-NRP_Hybrids	Salinispora tropica	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000150	BGC0000150	Salinispora tropica CNB-440, complete genome	T1PKS.NRPS-like	PKS-NRP_Hybrids	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000178	BGC0000178	Chitinophaga sancti major facilitator superfamily protein gene, complete cds; and biosynthesis gene cluster, complete sequence	transAT-PKS.NRPS-like.PKS-like.T3PKS	PKS-NRP_Hybrids	Chitinophaga sancti	Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
BGC0000180	BGC0000180	Legionella parisiensis strain ATCC 35299 lgl gene cluster, complete sequence	transAT-PKS-like.NRPS-like	PKS-NRP_Hybrids	Legionella parisiensis	Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BGC0000186	BGC0000186	Burkholderia thailandensis E264 chromosome II, complete sequence	transAT-PKS.PKS-like.NRPS	PKS-NRP_Hybrids	Burkholderia thailandensis E264	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei group
BGC0000257	BGC0000257	Streptomyces griseoviridis DNA, includes prodigiosin biosynthetic gene cluster, strain: 2464-S5	T1PKS.NRPS-like.prodigiosin	PKS-NRP_Hybrids	Streptomyces griseoviridis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000289	BGC0000289	Actinomadura sp. ATCC 39727 gene cluster for biosynthesis of glycopeptide antibiotic A40926, strain ATCC 39727	T3PKS.NRPS	PKS-NRP_Hybrids	Nonomuraea gerenzanensis	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea
BGC0000290	BGC0000290	Streptomyces toyocaensis strain NRRL 15009 biosynthetic gene cluster A47934, complete sequence	T3PKS.NRPS	PKS-NRP_Hybrids	Streptomyces toyocaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000311	BGC0000311	Amycolatopsis balhimycina biosynthetic gene cluster for balhimycin, strain DSM 5908	T3PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Amycolatopsis balhimycina DSM 5908	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000334	BGC0000334	Tolypocladium inflatum strain NRRL 8044 unitig_4, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Tolypocladium inflatum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Tolypocladium
BGC0000335	BGC0000335	Cystobacter fuscus strain MCy9118 cystomanamide biosynthesis gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Cystobacter fuscus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Cystobacter
BGC0000345	BGC0000345	Streptomyces hygroscopicus strain ATCC 53709 transposase gene, complete cds; eponemycin biosynthetic gene cluster, complete sequence; and transposase gene, complete cds	T1PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000346	BGC0000346	Goodfellowiella coeruleoviolacea strain ATCC 53904 FAD-dependent oxidoreductase gene, complete cds; epoxomicin biosynthetic gene cluster, complete sequence; and MarR-like transcriptional regulator gene, complete cds	T1PKS.NRPS	PKS-NRP_Hybrids	Goodfellowiella coeruleoviolacea	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Goodfellowiella
BGC0000353	BGC0000353	Streptomyces sp. MA6548 FK506 peptide synthetase (fkbP), FK506 oxidase (fkbO), and FK506 polyketide synthase (fkbB) genes, complete cds	T1PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Streptomyces sp. MA6548	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000365	BGC0000365	Mycobacterium smegmatis isolate mc2 155 insertion sequence IS1096 TnpA (tnpA) and TnpR genes, complete cds; and GPL gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Mycolicibacterium smegmatis MC2 155	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
BGC0000380	BGC0000380	Sorangium cellulosum strain So ce690 leupyrrin gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000393	BGC0000393	Myxococcus xanthus DK 1622, complete genome	T1PKS.NRPS	PKS-NRP_Hybrids	Myxococcus xanthus DK 1622	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus
BGC0000394	BGC0000394	Streptomyces lusitanus naphthyridinomycin biosynthetic gene cluster, complete sequence	PKS-like.NRPS	PKS-NRP_Hybrids	Streptomyces lusitanus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000402	BGC0000402	Paenibacillus larvae subsp. larvae DSM 25430, complete genome	transAT-PKS.NRPS	PKS-NRP_Hybrids	Paenibacillus larvae subsp. larvae DSM 25430	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
BGC0000418	BGC0000418	Amycolatopsis lurida strain NRRL2430 ristocetin biosynthetic gene cluster, complete sequence	T3PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Amycolatopsis lurida	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000419	BGC0000419	Amycolatopsis japonica strain MG417-CF17, complete genome	NRPS.NRPS-like.T3PKS	PKS-NRP_Hybrids	Amycolatopsis japonica	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis japonica group
BGC0000436	BGC0000436	Rhizobium sp. AP16 PMI03_contig82.82, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Rhizobium sp. AP16	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium
BGC0000440	BGC0000440	Actinoplanes teichomyceticus gene cluster for biosynthesis of glycopeptide antibiotic teicoplanin	T3PKS.NRPS	PKS-NRP_Hybrids	Actinoplanes teichomyceticus	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
BGC0000441	BGC0000441	Actinoplanes teichomyceticus teicoplanin gene cluster	T3PKS.NRPS	PKS-NRP_Hybrids	Actinoplanes teichomyceticus	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
BGC0000455	BGC0000455	Amycolatopsis orientalis vancomycin biosynthetic gene cluster, complete sequence	T3PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Amycolatopsis orientalis HCCB10007	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000954	BGC0000954	Chondromyces crocatus ajudazol biosynthesis gene cluster, strain Cmc5	T1PKS.NRPS	PKS-NRP_Hybrids	Chondromyces crocatus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Chondromyces
BGC0000955	BGC0000955	Myxococcus xanthus althiomycin biosynthetic gene cluster (almEDCABF genes), strain DK897	T1PKS.NRPS	PKS-NRP_Hybrids	Myxococcus xanthus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus
BGC0000957	BGC0000957	Streptomyces sp. XZQH13 ansatrienin biosynthetic gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces sp. XZQH13	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000958	BGC0000958	Streptomyces sp. S4, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Streptomyces sp. S4	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000959	BGC0000959	TPA_asm: Aspergillus nidulans FGSC A4 chromosome V	T1PKS.NRPS	PKS-NRP_Hybrids	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
BGC0000960	BGC0000960	Streptomyces sahachiroi azinomycin B gene cluster, partial sequence	T1PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Streptomyces sahachiroi	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000962	BGC0000962	Lyngbya majuscula barbamide biosynthesis gene cluster, complete sequence	T1PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Lyngbya majuscula	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Lyngbya
BGC0000963	BGC0000963	Streptomyces verticillus bleomycin biosynthetic gene cluster, complete cds	T1PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Streptomyces verticillus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000965	BGC0000965	Streptomyces globisporus enediyne antitumor antibiotic C-1027 biosynthetic gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Streptomyces globisporus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000966	BGC0000966	Actinoalloteichus sp. WH1-2216-6 putative formate acetyltransferase gene, partial cds; 50S ribosomal protein and ubiquinone/menaquinone biosynthesis melthyltransgerase genes, complete cds; caerulomycin A biosynthetic gene cluster, complete sequence; and F420-dependent NADP oxidoreductase coenzyme gene, partial cds	T1PKS.NRPS	PKS-NRP_Hybrids	Actinoalloteichus sp. WH1-2216-6	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,unclassified Actinoalloteichus
BGC0000967	BGC0000967	Uncultured Candidatus Entotheonella sp. calY, calX, calW, calV, calU, calT, calS, calR, calQ, calP, calO, calN, calM, calL, calK, calJ, calA, calB, calC, calD, calE, calF, calG, calH, calI genes, complete cds	transAT-PKS.NRPS-like.PKS-like.NRPS	PKS-NRP_Hybrids	uncultured Candidatus Entotheonella sp.	Bacteria,Nitrospinae/Tectomicrobia group,Candidatus Tectomicrobia,Candidatus Entotheonella,environmental samples
BGC0000968	BGC0000968	Penicillium expansum chaetoglobosin biosynthetic gene cluster	T1PKS.NRPS	PKS-NRP_Hybrids	Penicillium expansum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000969	BGC0000969	Chondromyces crocatus chondramide biosynthetic gene cluster, strain Cmc5	T1PKS.NRPS	PKS-NRP_Hybrids	Chondromyces crocatus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Chondromyces
BGC0000970	BGC0000970	Chondromyces crocatus chondrochloren biosynthesis gene cluster, strain Cmc5	T1PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Chondromyces crocatus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Chondromyces
BGC0000971	BGC0000971	Streptomyces sp. JS360 cinnabaramide biosynthetic gene cluster	transAT-PKS-like.T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces cinnabarigriseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000972	BGC0000972	Escherichia coli colibactin polyketide biosynthesis gene cluster and flanking regions, strain IHE3034	T1PKS.NRPS	PKS-NRP_Hybrids	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000973	BGC0000973	Streptomyces sp. CS40 Collismycin A biosynthesis gene cluster, strain CS40	T1PKS.NRPS	PKS-NRP_Hybrids	Streptomyces sp. CS40	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000974	BGC0000974	Chondromyces crocatus crocacin biosynthetic gene cluster, strain Cmc5	T1PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Chondromyces crocatus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Chondromyces
BGC0000975	BGC0000975	Nostoc sp. ATCC 53789 cryptophycin biosynthetic gene cluster, complete sequence	T1PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Nostoc sp. ATCC 53789	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0000976	BGC0000976	Moorea producens 3L curacin biosynthetic gene cluster, complete sequence	T3PKS.T1PKS.PKS-like.NRPS	PKS-NRP_Hybrids	Moorena producens 3L	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Moorena
BGC0000978	BGC0000978	Cylindrospermopsis raciborskii AWT205 cylindrospermopsin biosynthesis gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Cylindrospermopsis raciborskii AWT205	Bacteria,Cyanobacteria,Nostocales,Aphanizomenonaceae,Cylindrospermopsis
BGC0000979	BGC0000979	Aphanizomenon sp. 10E9 cylindrospermopsin biosynthesis gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Aphanizomenon sp. 10E9	Bacteria,Cyanobacteria,Nostocales,Aphanizomenonaceae,Aphanizomenon,unclassified Aphanizomenon
BGC0000980	BGC0000980	Aphanizomenon sp. 22D11 cylindrospermopsin biosynthesis gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Aphanizomenon sp. 22D11	Bacteria,Cyanobacteria,Nostocales,Aphanizomenonaceae,Aphanizomenon,unclassified Aphanizomenon
BGC0000981	BGC0000981	Aphanizomenon sp. 10E6 RNA-binding S1 domain-containing protein, oxidoreductase alpha subunit, transposase, and hypothetical protein genes, complete cds; cylindrospermopsin biosynthesis gene cluster, complete sequence; and hypothetical proteins, putative nucleotidyl transferase, putative cell envelope-related transcriptional attenuator, pentapeptide repeat-containing protein, and putative integral membrane protein MviN genes, complete cds	T1PKS.NRPS-like	PKS-NRP_Hybrids	Aphanizomenon sp. 10E6	Bacteria,Cyanobacteria,Nostocales,Aphanizomenonaceae,Aphanizomenon,unclassified Aphanizomenon
BGC0000982	BGC0000982	Cystobacter fuscus cystothiazole A gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Cystobacter fuscus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Cystobacter
BGC0000983	BGC0000983	Aspergillus clavatus NRRL 1 1099423829803 genomic scaffold, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Aspergillus clavatus NRRL 1	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Fumigati
BGC0000984	BGC0000984	Delftia acidovorans SPH-1, complete genome	T1PKS.NRPS	PKS-NRP_Hybrids	Delftia acidovorans SPH-1	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
BGC0000988	BGC0000988	Sorangium cellulosum strain So ce90 epothilone biosynthesis gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000989	BGC0000989	Sorangium cellulosum strain So0157-2 epothilone biosynthesis gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Sorangium cellulosum So0157-2	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000990	BGC0000990	Sorangium cellulosum strain KYC3013 epothilone biosynthesis gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000991	BGC0000991	Sorangium cellulosum putative transposase gene, partial cds; putative transposase gene, complete cds; epothilone biosynthesis gene cluster, complete sequence; putative membrane protein gene, complete cds	T1PKS.NRPS	PKS-NRP_Hybrids	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000994	BGC0000994	Streptomyces hygroscopicus var. ascomyceticus FK520 biosynthetic gene cluster, partial sequence	T1PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Streptomyces hygroscopicus subsp. ascomyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000995	BGC0000995	Pseudomonas sp. 2663 hypothetical proteins, OmpA family protein, ImcF-related family protein, hypothetical protein, and integrase genes, complete cds; FR901464 gene cluster, complete sequence; and histone family protein DNA-binding protein and integrase genes, complete cds	transAT-PKS.PKS-like.NRPS	PKS-NRP_Hybrids	Pseudomonas sp. 2663	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000996	BGC0000996	Streptomyces sp. SPB78 genomic scaffold supercont1.1, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Streptomyces sp. SPB78	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000997	BGC0000997	[Polyangium] brachysporum glidobactin A synthetase gene region, type strain K481-B101T	T1PKS.NRPS	PKS-NRP_Hybrids	Schlegelella brevitalea	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella
BGC0000998	BGC0000998	Streptomyces sp. K01-0509 guadinomine biosynthetic gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces sp. K01-0509	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000999	BGC0000999	Lysobacter enzymogenes strain C3 HSAF biosynthetic gene cluster, partial sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Lysobacter enzymogenes	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
BGC0001000	BGC0001000	Lyngbya majuscula hectochlorin biosynthetic gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Lyngbya majuscula	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Lyngbya
BGC0001001	BGC0001001	Lyngbya majuscula jamaicamide biosynthesis gene cluster, complete sequence	T1PKS.PKS-like.T3PKS.NRPS	PKS-NRP_Hybrids	Lyngbya majuscula	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Lyngbya
BGC0001003	BGC0001003	Streptomyces aureofaciens strain Tu117 lipomycin biosynthesis gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Kitasatospora aureofaciens	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
BGC0001005	BGC0001005	Bacillus subtilis strain 916 YbbR-like domain-containing protein (ybbR), phosphoglucosamine mutase (glmM), L-glutamine-D-fructose-6-phosphate amidotransferase (glmS), putative ATP binding protein of ABC transporter (potA), locillomycin synthase D (locD), locillomycin synthase A (locA), locillomycin synthase B (locB), locillomycin synthase C (locC), response regulator protein GraR (graR), two-component sensor histidine kinase, ATPase (potB), permease (potC), multidrug transporter (potD), and putative 2,5-diketo-D-gluconic acid reductase (kdgR1) genes, complete cds	transAT-PKS-like.NRPS-like.NRPS	PKS-NRP_Hybrids	Bacillus subtilis	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0001006	BGC0001006	Salinispora tropica CNB-440, complete genome	T1PKS.NRPS-like	PKS-NRP_Hybrids	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0001007	BGC0001007	Salinispora arenicola CNS-205, complete genome	T1PKS.NRPS-like	PKS-NRP_Hybrids	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0001008	BGC0001008	Actinomadura madurae strain ATCC 39144 maduropeptin biosynthesis gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Actinomadura madurae	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0001010	BGC0001010	Melittangium lichenicola melithiazol gene cluster	T1PKS.NRPS	PKS-NRP_Hybrids	Melittangium lichenicola	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Melittangium
BGC0001011	BGC0001011	Streptomyces sp. NRRL 30748 meridamycin biosynthetic gene cluster and flanking regions	T1PKS.NRPS	PKS-NRP_Hybrids	Streptomyces sp. NRRL 30748	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001012	BGC0001012	Streptomyces violaceusniger meridamycin gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Streptomyces violaceusniger	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0001013	BGC0001013	Biosynthetic Gene Cluster for the Production of a Complex Polyketide	T1PKS.NRPS	PKS-NRP_Hybrids	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
