sampleID,contignumber,regionnumber,category,contig_edge,core_location,cutoff,detection_rule,product,protocluster_number,kind,internal_id,seq_run,seq_sumission_date,data_return_date,internal_date_isolate_received,source_lab,isolation_date,sample_location,sample_location_lat,sample_location_lon,sample_source,lab_field_derived,host_species_non_mosquito,life_stage_non_mosquito,sex_non_mosquito,tissue_non_mosquito,mosquito_species,mosquito_strain_lab,mosquito_life_stage,mosquito_sex,mosquito_female_feeding_status,mosquito_tissue,confirmed_growth_media,confirmed_growth_temp,qc_pass,completeness,contamination,genome_size_bp,number_contigs,mean_contig_length_bp,longest_contig_bp,gc,number_predicted_genes,n50,total_reads,avg_coverage,gtdb_domain,gtdb_parent,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,fastani_reference,fastani_ani,fastani_af,SRA_accession_no,SRA_accession_URL
AS011,contig00001,region003,NRPS,False,[20000:35206],30000.0,(VibH_like or Cy_tandem or (cds(Condensation and AMP-binding) and ((IBH_Asp and not SBH_Asp) or IBH_His or TBH_Asp or CyanoBH_Asp1 or CyanoBH_Asp2 or IPL or SalSyn or (EntA and EntC) or (GrbD and GrbE) or (FbnL and FbnM) or PvdO or PvdP or (Orn_monoox and not (KtzT or MetRS-like)) or Lys_monoox or VbsL))),NRP-metallophore,1.0,chemical_hybrid,AS011,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,LB,28.0,Pass,99.69,0.44,4737009.0,56.0,84589.0,2641988.0,56.9,4339.0,2641988.0,5037213.0,157.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,,,,,SAMN37642604,https://www.ncbi.nlm.nih.gov/sra/37642604
AS011,contig00007,region001,other,False,[20000:23591],20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AS011,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,LB,28.0,Pass,99.69,0.44,4737009.0,56.0,84589.0,2641988.0,56.9,4339.0,2641988.0,5037213.0,157.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,,,,,SAMN37642604,https://www.ncbi.nlm.nih.gov/sra/37642604
AS013,contig00001,region001,other,False,[20000:23576],20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AS013,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,PDA,28.0,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,SAMN37642605,https://www.ncbi.nlm.nih.gov/sra/37642605
AS013,contig00002,region001,other,False,[10000:19220],10000.0,(HMGL-like and AMP-binding),betalactone,1.0,single,AS013,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,PDA,28.0,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,SAMN37642605,https://www.ncbi.nlm.nih.gov/sra/37642605
AS013,contig00004,region001,other,False,[10000:22610],10000.0,(HMGL-like and AMP-binding),betalactone,1.0,single,AS013,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,PDA,28.0,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,SAMN37642605,https://www.ncbi.nlm.nih.gov/sra/37642605
AS013,contig00010,region001,RiPP,False,[5000:7220],20000.0,(strepbact or Antimicrobial14 or Bacteriocin_IId or BacteriocIIc_cy or Bacteriocin_II or Bacteriocin_IIi or Lactococcin or Antimicrobial17 or Lactococcin_972 or Bacteriocin_IIc or LcnG-beta or Cloacin or Linocin_M18 or TIGR03651 or TIGR03693 or TIGR03601 or TIGR03795 or TIGR03975 or DUF692 or TIGR01193 or (YcaO or TIGR03604)),RiPP-like,1.0,single,AS013,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,PDA,28.0,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,SAMN37642605,https://www.ncbi.nlm.nih.gov/sra/37642605
AS013,contig00015,region001,other,True,[5359:6589],20000.0,(APE_KS1 or APE_KS2),arylpolyene,1.0,single,AS013,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,PDA,28.0,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,SAMN37642605,https://www.ncbi.nlm.nih.gov/sra/37642605
AS013,contig00016,region001,other,True,[5000:13446],20000.0,IucA_IucC,NI-siderophore,1.0,single,AS013,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,20-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,PDA,28.0,Pass,99.73,0.68,3579498.0,54.0,66287.0,466536.0,40.1,3387.0,244439.0,5206463.0,215.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,GCF_000400735.1,96.83,0.91,SAMN37642605,https://www.ncbi.nlm.nih.gov/sra/37642605
AS031,contig00001,region001,RiPP,False,[10000:12162],20000.0,"(cds(PF04055 and (TIGR04085 or SPASM)) and (TIGR02111 or TIGR03966) and minimum(1, [Bottromycin_Methyltransferase_RRE, Cyanobactin_D_RRE, Cytolysin_C_RRE, Goadsporin_CD_RRE, Heterocycloanthracin_C_RRE, Lanthipeptide_LanB_RRE, Lasso_Fused_RRE, Mycofactocin_RRE, NHLP_CD_RRE, Other_Sactipeptide_rSAM_RRE, Pantocin_Microcin_RRE, Plantazolicin_C_RRE, PlpY_RRE, PqqD_RRE, Proteusin_Epimerase_RRE, Proteusin_Methyltransferase_RRE, Quinohemoprotein_rSAM_RRE, Ranthipeptide_rSAM_RRE, Stand_Alone_Lasso_RRE, Streptide_RRE, Subtilosin_rSAM_RRE, Thiaglutamate_B_RRE, Thiaglutamate_G_RRE, Thiaglutamate_I_RRE, Thiopeptide_F_RRE, Thuricin_rSAM_RRE, Thurincin_rSAM_RRE, Trifolitoxin_RRE]))",redox-cofactor,1.0,single,AS031,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,21-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,SAMN37642606,https://www.ncbi.nlm.nih.gov/sra/37642606
AS031,contig00001,region002,other,False,[10000:10612],20000.0,Autoind_synth,hserlactone,1.0,single,AS031,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,21-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,SAMN37642606,https://www.ncbi.nlm.nih.gov/sra/37642606
AS031,contig00001,region003,RiPP,False,[10000:16113],20000.0,((YcaO or TIGR03604) and ((thio_amide and (PF06968 or PF04055 or PF07366)) or Lant_dehydr_C or Lant_dehydr_N or PF07366 or PF06968 or PF04055) or thiostrepton),thiopeptide,1.0,single,AS031,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,21-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,SAMN37642606,https://www.ncbi.nlm.nih.gov/sra/37642606
AS031,contig00004,region001,other,False,[30000:30789],30000.0,NasY,acyl_amino_acids,1.0,neighbouring,AS031,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,21-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,SAMN37642606,https://www.ncbi.nlm.nih.gov/sra/37642606
AS031,contig00004,region002,other,False,[5000:7355],20000.0,IucA_IucC,NI-siderophore,1.0,single,AS031,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,21-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,SAMN37642606,https://www.ncbi.nlm.nih.gov/sra/37642606
AS031,contig00004,region003,terpene,False,[10000:13577],20000.0,(Terpene_synth or Terpene_synth_C or phytoene_synt or Lycopene_cycl or terpene_cyclase or NapT7 or fung_ggpps or fung_ggpps2 or trichodiene_synth or TRI5),terpene,1.0,single,AS031,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,21-Nov-19,"Dane_County,WI,USA;North_America",43.11,-89.5,mosquito_larval_water,field,,,,,,,,,,,R2A,28.0,Pass,99.28,0.33,3968840.0,55.0,72160.0,1650167.0,56.4,3646.0,470326.0,5365337.0,200.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina,GCF_002095385.1,98.85,0.95,SAMN37642606,https://www.ncbi.nlm.nih.gov/sra/37642606
AS083,contig00001,region001,NRPS,False,[19738:28246],20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,single,AS083,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,,,,,,,,,,,Blood,28.0,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,SAMN37642607,https://www.ncbi.nlm.nih.gov/sra/37642607
AS083,contig00001,region002,RiPP,False,[10000:12163],20000.0,"(cds(PF04055 and (TIGR04085 or SPASM)) and (TIGR02111 or TIGR03966) and minimum(1, [Bottromycin_Methyltransferase_RRE, Cyanobactin_D_RRE, Cytolysin_C_RRE, Goadsporin_CD_RRE, Heterocycloanthracin_C_RRE, Lanthipeptide_LanB_RRE, Lasso_Fused_RRE, Mycofactocin_RRE, NHLP_CD_RRE, Other_Sactipeptide_rSAM_RRE, Pantocin_Microcin_RRE, Plantazolicin_C_RRE, PlpY_RRE, PqqD_RRE, Proteusin_Epimerase_RRE, Proteusin_Methyltransferase_RRE, Quinohemoprotein_rSAM_RRE, Ranthipeptide_rSAM_RRE, Stand_Alone_Lasso_RRE, Streptide_RRE, Subtilosin_rSAM_RRE, Thiaglutamate_B_RRE, Thiaglutamate_G_RRE, Thiaglutamate_I_RRE, Thiopeptide_F_RRE, Thuricin_rSAM_RRE, Thurincin_rSAM_RRE, Trifolitoxin_RRE]))",redox-cofactor,1.0,single,AS083,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,,,,,,,,,,,Blood,28.0,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,SAMN37642607,https://www.ncbi.nlm.nih.gov/sra/37642607
AS083,contig00001,region003,NRPS,False,[20000:27952],20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,single,AS083,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,,,,,,,,,,,Blood,28.0,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,SAMN37642607,https://www.ncbi.nlm.nih.gov/sra/37642607
AS083,contig00001,region004,RiPP,False,[10000:16445],20000.0,((YcaO or TIGR03604) and ((thio_amide and (PF06968 or PF04055 or PF07366)) or Lant_dehydr_C or Lant_dehydr_N or PF07366 or PF06968 or PF04055) or thiostrepton),thiopeptide,1.0,single,AS083,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,,,,,,,,,,,Blood,28.0,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,SAMN37642607,https://www.ncbi.nlm.nih.gov/sra/37642607
AS083,contig00001,region005,PKS,False,[10000:25021],20000.0,(PPDK_N and AMP-binding and PP-binding and PKS_KS),prodigiosin,1.0,single,AS083,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,,,,,,,,,,,Blood,28.0,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,SAMN37642607,https://www.ncbi.nlm.nih.gov/sra/37642607
AS083,contig00002,region001,NRPS,False,[20000:23936],20000.0,cds(Condensation and (AMP-binding or A-OX)),NRPS,1.0,single,AS083,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,,,,,,,,,,,Blood,28.0,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,SAMN37642607,https://www.ncbi.nlm.nih.gov/sra/37642607
AS083,contig00003,region001,other,False,[10000:15671],10000.0,(HMGL-like and AMP-binding),betalactone,1.0,single,AS083,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,,,,,,,,,,,Blood,28.0,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,SAMN37642607,https://www.ncbi.nlm.nih.gov/sra/37642607
AS083,contig00003,region002,other,False,[10000:10645],20000.0,Autoind_synth,hserlactone,1.0,neighbouring,AS083,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,,,,,,,,,,,Blood,28.0,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,SAMN37642607,https://www.ncbi.nlm.nih.gov/sra/37642607
AS083,contig00008,region001,NRPS,True,[16818:40612],30000.0,(VibH_like or Cy_tandem or (cds(Condensation and AMP-binding) and ((IBH_Asp and not SBH_Asp) or IBH_His or TBH_Asp or CyanoBH_Asp1 or CyanoBH_Asp2 or IPL or SalSyn or (EntA and EntC) or (GrbD and GrbE) or (FbnL and FbnM) or PvdO or PvdP or (Orn_monoox and not (KtzT or MetRS-like)) or Lys_monoox or VbsL))),NRP-metallophore,2.0,chemical_hybrid,AS083,UW-1,29-Sep-21,01-Nov-21,,Coon_Kerri,05-Mar-20,"Dane_County,WI,USA;North_America",43.121,-89.478,mosquito_larval_water,field,,,,,,,,,,,Blood,28.0,Pass,99.8,0.0,4975917.0,40.0,124397.0,2506594.0,59.8,4593.0,2506594.0,4304641.0,127.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.51,0.95,SAMN37642607,https://www.ncbi.nlm.nih.gov/sra/37642607
