Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,HN020_contigs,USMM068_contigs
ribE,ribE,riboflavin synthase,2,2,1,5,10,,,,660,660,660,BKCABM_16595,GAHHJF_15070
glnK,glnK,P-II family nitrogen regulator,2,2,1,5,9,,,,339,339,339,BKCABM_16620,GAHHJF_15095
group_875,,Adenine-specific DNA methylase,2,2,1,5,5,,,,1293,1299,1296,BKCABM_16600,GAHHJF_15075
group_874,,ATP-dependent protease;ATP-binding protein,2,2,1,5,4,,,,927,1488,1207.5,BKCABM_16630,GAHHJF_15105
amt,amt,Ammonium transporter,2,2,1,5,2,,,,1401,1404,1402.5,BKCABM_16615,GAHHJF_15090
nrdR,nrdR,transcriptional regulator NrdR,2,2,1,5,1,,,,459,465,462,BKCABM_16610,GAHHJF_15085
rhtB,rhtB,Threonine transporter RhtB,2,2,1,4,17,,,,600,621,610.5,BKCABM_13440,GAHHJF_12905
atpG,atpG,F0F1 ATP synthase subunit gamma,2,2,1,4,15,,,,870,870,870,BKCABM_13380,GAHHJF_12850
atpC,atpC,F0F1 ATP synthase subunit epsilon,2,2,1,4,14,,,,420,420,420,BKCABM_13370,GAHHJF_12840
znuC,znuC,zinc ABC transporter ATP-binding protein ZnuC,2,2,1,4,13,,,,783,789,786,BKCABM_13425,GAHHJF_12895
atpA,atpA,F0F1 ATP synthase subunit alpha,2,2,1,4,12,,,,1545,1545,1545,BKCABM_13385,GAHHJF_12855
znuB,znuB,zinc ABC transporter permease subunit ZnuB,2,2,1,4,11,,,,801,819,810,BKCABM_13430,GAHHJF_12900
group_872,,Fur family transcriptional regulator,2,2,1,4,10,,,,495,498,496.5,BKCABM_13420,GAHHJF_12890
atpB,atpB,F0F1 ATP synthase subunit A,2,2,1,4,9,,,,876,876,876,BKCABM_13405,GAHHJF_12875
atpE,atpE,F0F1 ATP synthase subunit C,2,2,1,4,8,,,,246,246,246,BKCABM_13400,GAHHJF_12870
atpD,atpD,F0F1 ATP synthase subunit beta,2,2,1,4,7,,,,1395,1395,1395,BKCABM_13375,GAHHJF_12845
atpF,atpF,F0F1 ATP synthase subunit B,2,2,1,4,6,,,,471,471,471,BKCABM_13395,GAHHJF_12865
group_871,,ATP synthase protein I,2,2,1,4,5,,,,399,399,399,BKCABM_13410,GAHHJF_12880
atpH,atpH,F0F1 ATP synthase subunit delta,2,2,1,4,4,,,,537,537,537,BKCABM_13390,GAHHJF_12860
group_869,,Iron-dependent peroxidase;Dyp-type peroxidase,2,2,1,4,2,,,,921,921,921,BKCABM_13445,GAHHJF_12910
rpmB,rpmB,50S ribosomal protein L28,2,2,1,3,325,,,,237,237,237,BKCABM_09365,GAHHJF_09920
rplK,rplK,50S ribosomal protein L11,2,2,1,3,208,,,,429,429,429,BKCABM_10295,GAHHJF_10690
nusG,nusG,transcription termination/antitermination protein NusG,2,2,1,3,132,,,,534,534,534,BKCABM_10300,GAHHJF_10695
thyA,thyA,thymidylate synthase,2,2,1,3,104,,,,843,843,843,BKCABM_09310,GAHHJF_09865
group_694,,DNA 3'-5' helicase,2,2,1,3,100,,,,1989,1989,1989,BKCABM_09395,GAHHJF_09960
group_693,,Dihydrofolate reductase,2,2,1,3,99,,,,510,570,540,BKCABM_09315,GAHHJF_09870
group_692,,RNA-binding protein;RRM domain-containing protein,2,2,1,3,98,,,,252,261,256.5,BKCABM_09390,GAHHJF_09955
msrA,msrA,Peptide methionine sulfoxide reductase MsrA,2,2,1,3,93,,,,522,528,525,BKCABM_09330,GAHHJF_09885
exbD,exbD,Biopolymer transporter ExbD,2,2,1,3,92,,,,405,405,405,BKCABM_09335,GAHHJF_09890
group_688,,MotA/TolQ/ExbB proton channel family protein;MotA/TolQ/ExbB proton channel domain-containing protein,2,2,1,3,90,,,,624,624,624,BKCABM_09340,GAHHJF_09895
rpoC,rpoC,DNA-directed RNA polymerase subunit beta',2,2,1,3,87,,,,4194,4200,4197,BKCABM_10270,GAHHJF_10665
rpoB,rpoB,DNA-directed RNA polymerase subunit beta,2,2,1,3,85,,,,4089,4089,4089,BKCABM_10275,GAHHJF_10670
group_684,,HEPN domain-containing protein,2,2,1,3,84,,,,504,504,504,BKCABM_09385,GAHHJF_09940
purU,purU,formyltetrahydrofolate deformylase,2,2,1,3,83,,,,867,867,867,BKCABM_09350,GAHHJF_09905
rplL,rplL,50S ribosomal protein L7/L12,2,2,1,3,81,,,,366,369,367.5,BKCABM_10280,GAHHJF_10675
group_683,,YbaB/EbfC family nucleoid-associated protein;YbaB/EbfC family DNA-binding protein,2,2,1,3,80,,,,279,279,279,BKCABM_09380,GAHHJF_09935
truA,truA,tRNA pseudouridine(38-40) synthase TruA,2,2,1,3,79,,,,798,813,805.5,BKCABM_09485,GAHHJF_10025
group_682,;tetR,HTH tetR-type domain-containing protein;TetR family transcriptional regulator,2,2,1,3,78,,,,690,720,705,BKCABM_09355,GAHHJF_09910
rplJ,rplJ,50S ribosomal protein L10,2,2,1,3,72,,,,507,507,507,BKCABM_10285,GAHHJF_10680
group_676,,RCK N-terminal domain-containing protein,2,2,1,3,68,,,,1716,1719,1717.5,BKCABM_09375,GAHHJF_09930
group_675,araC,AraC-type DNA-binding domain and AraC-containing proteins,2,2,1,3,67,,,,1008,1008,1008,BKCABM_09490,GAHHJF_10030
group_674,,Aldehyde dehydrogenase,2,2,1,3,66,,,,1449,1449,1449,BKCABM_09360,GAHHJF_09915
rplA,rplA,50S ribosomal protein L1,2,2,1,3,63,,,,696,696,696,BKCABM_10290,GAHHJF_10685
secE,secE,preprotein translocase subunit SecE,2,2,1,3,62,,,,441,441,441,BKCABM_10305,GAHHJF_10700
tuf,tuf,elongation factor Tu,2,2,1,3,61,,,,138,138,138,BKCABM_10315,GAHHJF_10710
rpmG,rpmG,50S ribosomal protein L33,2,2,1,3,40,,,,156,156,156,BKCABM_09370,GAHHJF_09925
infA,infA,translation initiation factor IF-1,2,2,1,3,2,,,,222,222,222,BKCABM_09495,GAHHJF_10035
xpt,xpt,xanthine phosphoribosyltransferase,2,2,1,2,74,,,,576,576,576,BKCABM_08610,GAHHJF_07530
wrbA,wrbA,NAD(P)H:quinone oxidoreductase,2,2,1,2,73,,,,594,597,595.5,BKCABM_08595,GAHHJF_07515
group_628,,UPF0761 membrane protein I6G67_01925;UPF0761 membrane protein ACIAD3168,2,2,1,2,72,,,,1245,1251,1248,BKCABM_08590,GAHHJF_07510
group_627,,Fumarylacetoacetate hydrolase,2,2,1,2,71,,,,645,648,646.5,BKCABM_08575,GAHHJF_07495
ycxB,;ycxB,Membrane protein;YcxB family protein,2,2,1,2,70,,,,498,498,498,BKCABM_08570,GAHHJF_07490
rnr,rnr,ribonuclease R,2,2,1,2,69,,,,2412,2436,2424,BKCABM_08545,GAHHJF_07460
recG,recG,ATP-dependent DNA helicase RecG,2,2,1,2,68,,,,2046,2046,2046,BKCABM_08275,GAHHJF_07205
group_626,,oligopeptidase A,2,2,1,2,67,,,,2028,2040,2034,BKCABM_08535,GAHHJF_07455
yheV,yheV,YheV family putative zinc ribbon protein,2,2,1,2,66,,,,210,219,214.5,BKCABM_08530,GAHHJF_07450
plsB,plsB,glycerol-3-phosphate 1-O-acyltransferase PlsB,2,2,1,2,65,,,,2568,2574,2571,BKCABM_08290,GAHHJF_07220
dctM,dctM,TRAP C4-dicarboxylate transport system permease DctM subunit domain-containing protein,2,2,1,2,64,,,,2196,2199,2197.5,BKCABM_08520,GAHHJF_07445
tesB,tesB,Acyl-CoA thioesterase 2;Acyl-CoA thioesterase II,2,2,1,2,63,,,,873,873,873,BKCABM_08295,GAHHJF_07225
group_625,,Dicarboxylate/amino acid:cation symporter,2,2,1,2,62,,,,1251,1260,1255.5,BKCABM_08300,GAHHJF_07230
group_624,,Metal-dependent hydrolase,2,2,1,2,61,,,,945,945,945,BKCABM_08305,GAHHJF_07235
group_623,,Lipoprotein,2,2,1,2,60,,,,1038,1095,1066.5,BKCABM_08510,GAHHJF_07435
yihA,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC,2,2,1,2,59,,,,822,861,841.5,BKCABM_08310,GAHHJF_07240
rplN,rplN,50S ribosomal protein L14,2,2,1,2,58,,,,369,369,369,BKCABM_08395,GAHHJF_07325
sdhE,;sdhE,succinate dehydrogenase assembly factor 2;FAD assembly factor SdhE,2,2,1,2,57,,,,258,258,258,BKCABM_08495,GAHHJF_07420
group_622,,Helicase HerA-like C-terminal domain-containing protein;AAA+ ATPase domain-containing protein,2,2,1,2,56,,,,1551,1584,1567.5,BKCABM_08325,GAHHJF_07255
group_620,caiA;,Acyl-CoA dehydrogenase related to the alkylation response protein AidB;Acyl-CoA dehydrogenase,2,2,1,2,54,,,,1173,1173,1173,BKCABM_08490,GAHHJF_07415
metC,metC,Cystathionine beta-lyase,2,2,1,2,53,,,,1194,1224,1209,BKCABM_08330,GAHHJF_07260
rplR,rplR,50S ribosomal protein L18,2,2,1,2,51,,,,351,351,351,BKCABM_08425,GAHHJF_07355
rplF,rplF,50S ribosomal protein L6,2,2,1,2,50,,,,534,534,534,BKCABM_08420,GAHHJF_07350
rpsE,rpsE,30S ribosomal protein S5,2,2,1,2,49,,,,498,498,498,BKCABM_08430,GAHHJF_07360
rpsH,rpsH,30S ribosomal protein S8,2,2,1,2,47,,,,396,396,396,BKCABM_08415,GAHHJF_07345
rpmD,rpmD,50S ribosomal protein L30,2,2,1,2,46,,,,177,177,177,BKCABM_08435,GAHHJF_07365
rpsN,rpsN,30S ribosomal protein S14,2,2,1,2,45,,,,306,306,306,BKCABM_08410,GAHHJF_07340
rplP,rplP,50S ribosomal protein L16,2,2,1,2,44,,,,414,414,414,BKCABM_08380,GAHHJF_07310
rplO,rplO,50S ribosomal protein L15,2,2,1,2,43,,,,441,441,441,BKCABM_08440,GAHHJF_07370
rpsC,rpsC,30S ribosomal protein S3,2,2,1,2,41,,,,753,753,753,BKCABM_08375,GAHHJF_07305
rplW,rplW,50S ribosomal protein L23,2,2,1,2,40,,,,321,321,321,BKCABM_08355,GAHHJF_07285
rplD,rplD,50S ribosomal protein L4,2,2,1,2,39,,,,603,603,603,BKCABM_08350,GAHHJF_07280
rplE,rplE,50S ribosomal protein L5,2,2,1,2,37,,,,537,537,537,BKCABM_08405,GAHHJF_07335
rpmC,rpmC,50S ribosomal protein L29,2,2,1,2,36,,,,198,198,198,BKCABM_08385,GAHHJF_07315
ethA,ethA,FAD-containing monooxygenase EthA,2,2,1,2,35,,,,1491,1491,1491,BKCABM_08480,GAHHJF_07410
secY,secY,preprotein translocase subunit SecY,2,2,1,2,34,,,,1353,1359,1356,BKCABM_08445,GAHHJF_07375
rplV,rplV,50S ribosomal protein L22,2,2,1,2,33,,,,330,330,330,BKCABM_08370,GAHHJF_07300
rplB,rplB,50S ribosomal protein L2,2,2,1,2,32,,,,825,825,825,BKCABM_08360,GAHHJF_07290
rplC,rplC,50S ribosomal protein L3,2,2,1,2,31,,,,639,639,639,BKCABM_08345,GAHHJF_07275
rplX,rplX,50S ribosomal protein L24,2,2,1,2,29,,,,318,321,319.5,BKCABM_08400,GAHHJF_07330
rpsS,rpsS,30S ribosomal protein S19,2,2,1,2,28,,,,276,276,276,BKCABM_08365,GAHHJF_07295
rpsQ,rpsQ,30S ribosomal protein S17,2,2,1,2,27,,,,258,258,258,BKCABM_08390,GAHHJF_07320
rpsM,rpsM,30S ribosomal protein S13,2,2,1,2,25,,,,357,357,357,BKCABM_08455,GAHHJF_07385
rplQ,rplQ,50S ribosomal protein L17,2,2,1,2,23,,,,366,378,372,BKCABM_08475,GAHHJF_07405
rpsD,rpsD,30S ribosomal protein S4,2,2,1,2,22,,,,624,627,625.5,BKCABM_08465,GAHHJF_07395
rpsK,rpsK,30S ribosomal protein S11,2,2,1,2,19,,,,387,387,387,BKCABM_08460,GAHHJF_07390
rpoA,rpoA,DNA-directed RNA polymerase subunit alpha,2,2,1,2,17,,,,1008,1008,1008,BKCABM_08470,GAHHJF_07400
rpmJ,rpmJ,50S ribosomal protein L36,2,2,1,2,14,,,,117,117,117,BKCABM_08450,GAHHJF_07380
rpsJ,rpsJ,30S ribosomal protein S10,2,2,1,2,11,,,,312,312,312,BKCABM_08340,GAHHJF_07270
fis,fis,DNA-binding transcriptional regulator Fis,2,2,1,1,894,,,,270,270,270,BKCABM_11100,GAHHJF_04510
nuoK,nuoK,NADH-quinone oxidoreductase subunit NuoK,2,2,1,1,830,,,,309,309,309,BKCABM_05890,GAHHJF_11405
fdxA,fdxA,ferredoxin FdxA,2,2,1,1,802,,,,324,324,324,BKCABM_11440,GAHHJF_12005
rpsL,rpsL,30S ribosomal protein S12,2,2,1,1,692,,,,375,375,375,BKCABM_17255,GAHHJF_10725
eno,eno,phosphopyruvate hydratase,2,2,1,1,672,,,,1290,1290,1290,BKCABM_10505,GAHHJF_01305
cyoE,;cyoE,Protoheme IX farnesyltransferase;heme o synthase,2,2,1,1,313,,,,879,879,879,BKCABM_10990,GAHHJF_04595
ppsR,ppsR;,Putative phosphoenolpyruvate synthase regulatory protein,2,2,1,1,312,,,,837,837,837,BKCABM_10950,GAHHJF_04635
group_161,,Luciferase-like domain-containing protein;LLM class flavin-dependent oxidoreductase,2,2,1,1,311,,,,1002,1008,1005,BKCABM_10935,GAHHJF_04645
prfA,prfA,peptide chain release factor 1,2,2,1,1,309,,,,1089,1089,1089,BKCABM_10920,GAHHJF_04655
ppsA,ppsA,phosphoenolpyruvate synthase,2,2,1,1,306,,,,2379,2430,2404.5,BKCABM_10955,GAHHJF_04630
cyoA,cyoA,ubiquinol oxidase subunit II,2,2,1,1,305,,,,1053,1074,1063.5,BKCABM_10970,GAHHJF_04615
cyoD,cyoD,cytochrome o ubiquinol oxidase subunit IV,2,2,1,1,304,,,,327,327,327,BKCABM_10985,GAHHJF_04600
cyoB,cyoB,cytochrome o ubiquinol oxidase subunit I,2,2,1,1,303,,,,1989,1992,1990.5,BKCABM_10975,GAHHJF_04610
cyoC,cyoC,cytochrome o ubiquinol oxidase subunit III,2,2,1,1,302,,,,621,621,621,BKCABM_10980,GAHHJF_04605
thiG,thiG,Thiazole synthase,2,2,1,1,300,,,,786,786,786,BKCABM_04135,GAHHJF_02700
group_157,,DUF423 domain-containing protein,2,2,1,1,297,,,,366,366,366,BKCABM_04125,GAHHJF_02690
rpoH,rpoH,RNA polymerase sigma factor RpoH,2,2,1,1,296,,,,870,870,870,BKCABM_04120,GAHHJF_02685
rpsF,rpsF,30S ribosomal protein S6,2,2,1,1,295,,,,387,387,387,BKCABM_11005,GAHHJF_04590
cspC,cspC,Cold shock protein CspA family,2,2,1,1,293,,,,213,213,213,BKCABM_04110,GAHHJF_02680
rhlB,rhlB,ATP-dependent RNA helicase RhlB,2,2,1,1,292,,,,1152,1152,1152,BKCABM_04105,GAHHJF_02675
rpsR,rpsR,30S ribosomal protein S18,2,2,1,1,291,,,,228,228,228,BKCABM_11010,GAHHJF_04585
group_155,,Putative NAD(P)H nitroreductase,2,2,1,1,288,,,,576,579,577.5,BKCABM_04095,GAHHJF_02665
gpsA,;gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,2,2,1,1,287,,,,1074,1074,1074,BKCABM_04090,GAHHJF_02660
dnaB,dnaB,replicative DNA helicase,2,2,1,1,286,,,,1446,1446,1446,BKCABM_11025,GAHHJF_04570
sixA,sixA,phosphohistidine phosphatase SixA,2,2,1,1,282,,,,456,456,456,BKCABM_04085,GAHHJF_02655
nrdD,nrdD,ribonucleoside-diphosphate reductase subunit alpha,2,2,1,1,277,,,,2823,2832,2827.5,BKCABM_05955,GAHHJF_11475
pyrD,pyrD,quinone-dependent dihydroorotate dehydrogenase,2,2,1,1,276,,,,1005,1011,1008,BKCABM_04070,GAHHJF_02640
group_150,,WYL domain-containing protein;Malonate decarboxylase epsilon subunit,2,2,1,1,275,,,,999,1002,1000.5,BKCABM_11060,GAHHJF_04540
group_149,,Circularly permuted ATPgrasp domain-containing protein,2,2,1,1,274,,,,1551,1551,1551,BKCABM_11055,GAHHJF_04545
bfmR,bfmR,response regulator transcription factor BfmR,2,2,1,1,270,,,,717,717,717,BKCABM_05950,GAHHJF_11470
rplI,rplI,50S ribosomal protein L9,2,2,1,1,268,,,,447,447,447,BKCABM_11015,GAHHJF_04580
group_146,,ferredoxin--NADP(+) reductase,2,2,1,1,267,,,,762,762,762,BKCABM_05850,GAHHJF_11375
purF,purF,amidophosphoribosyltransferase,2,2,1,1,265,,,,1536,1539,1537.5,BKCABM_04060,GAHHJF_02630
group_144,,Peptidase M48 domain-containing protein,2,2,1,1,264,,,,1833,1848,1840.5,BKCABM_04055,GAHHJF_02625
group_143,,PNPLA domain-containing protein,2,2,1,1,263,,,,1506,1512,1509,BKCABM_04005,GAHHJF_02575
mnmG,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,2,2,1,1,260,,,,1881,1881,1881,BKCABM_11070,GAHHJF_04535
bfmS,bfmS,sensor histidine kinase BfmS,2,2,1,1,258,,,,1662,1665,1663.5,BKCABM_05945,GAHHJF_11465
gigC,gigC,LysR family transcriptional regulator GigC,2,2,1,1,257,,,,879,894,886.5,BKCABM_05855,GAHHJF_11380
group_139,,Glyoxylate reductase / Glyoxylatereductase / Hydroxypyruvate reductase 2-ketoaldonate reductase broad specificity;Bifunctional glyoxylate/hydroxypyruvate reductase B,2,2,1,1,255,,,,969,969,969,BKCABM_04045,GAHHJF_02615
group_138,,ATP-binding protein,2,2,1,1,254,,,,873,876,874.5,BKCABM_04010,GAHHJF_02580
group_137,,Bile acid transporter,2,2,1,1,250,,,,882,891,886.5,BKCABM_11085,GAHHJF_04525
hemJ,hemJ,protoporphyrinogen oxidase HemJ,2,2,1,1,249,,,,453,453,453,BKCABM_17240,GAHHJF_10740
group_136,,Acyltransferase 3 domain-containing protein,2,2,1,1,248,,,,1107,1128,1117.5,BKCABM_17235,GAHHJF_10745
group_135,,Acyltransferase,2,2,1,1,246,,,,612,615,613.5,BKCABM_11460,GAHHJF_12030
nuoA,;nuoA,NADH-quinone oxidoreductase subunit A,2,2,1,1,242,,,,549,552,550.5,BKCABM_05935,GAHHJF_11450
prmA,prmA,50S ribosomal protein L11 methyltransferase,2,2,1,1,240,,,,903,906,904.5,BKCABM_11090,GAHHJF_04520
nuoB,nuoB,NADH-quinone oxidoreductase subunit B,2,2,1,1,239,,,,678,678,678,BKCABM_05930,GAHHJF_11445
nuoC,nuoC,NADH-quinone oxidoreductase subunit C/D,2,2,1,1,238,,,,1788,1788,1788,BKCABM_05925,GAHHJF_11440
nuoE,nuoE,NADH-quinone oxidoreductase subunit NuoE,2,2,1,1,236,,,,510,510,510,BKCABM_05920,GAHHJF_11435
nuoF,nuoF,NADH-quinone oxidoreductase subunit NuoF,2,2,1,1,235,,,,1332,1332,1332,BKCABM_05915,GAHHJF_11430
nuoG,nuoG,NADH-quinone oxidoreductase subunit NuoG,2,2,1,1,229,,,,2682,2685,2683.5,BKCABM_05910,GAHHJF_11425
group_124,,Proteasome-type protease;Peptidase,2,2,1,1,227,,,,735,735,735,BKCABM_11040,GAHHJF_04560
upp,upp,uracil phosphoribosyltransferase,2,2,1,1,225,,,,636,636,636,BKCABM_05870,GAHHJF_11385
nrdB,nrdB;,ribonucleotide-diphosphate reductase subunit beta,2,2,1,1,221,,,,1284,1284,1284,BKCABM_05965,GAHHJF_11485
nuoH,nuoH,NADH-quinone oxidoreductase subunit NuoH,2,2,1,1,220,,,,1008,1017,1012.5,BKCABM_05905,GAHHJF_11420
nuoN,nuoN,NADH-quinone oxidoreductase subunit NuoN,2,2,1,1,219,,,,1497,1497,1497,BKCABM_05875,GAHHJF_11390
uspA,uspA,UspA domain-containing protein,2,2,1,1,217,,,,843,843,843,BKCABM_11455,GAHHJF_12020
purD,purD,Phosphoribosylamine--glycine ligase;Phosphoribosylamine-glycine ligase,2,2,1,1,210,,,,1284,1314,1299,BKCABM_11110,GAHHJF_04500
nuoI,nuoI,NADH-quinone oxidoreductase subunit NuoI,2,2,1,1,208,,,,543,543,543,BKCABM_05900,GAHHJF_11415
nuoM,nuoM,NADH-quinone oxidoreductase subunit M,2,2,1,1,207,,,,1599,1614,1606.5,BKCABM_05880,GAHHJF_11395
group_119,,O-methyltransferase,2,2,1,1,206,,,,666,669,667.5,BKCABM_11450,GAHHJF_12015
fusA,fusA,elongation factor G,2,2,1,1,205,,,,2136,2139,2137.5,BKCABM_17265,GAHHJF_10715
pyrG,pyrG,CTP synthase,2,2,1,1,204,,,,1638,1641,1639.5,BKCABM_10515,GAHHJF_01315
yqeY,yqeY;,Uncharacterized conserved protein YqeY may have tRNA amino acid amidase activity;Glutamyl-tRNA amidotransferase,2,2,1,1,201,,,,447,453,450,BKCABM_04035,GAHHJF_02600
tsaD,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,2,2,1,1,200,,,,1017,1023,1020,BKCABM_04025,GAHHJF_02590
purH,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,2,2,1,1,197,,,,1575,1575,1575,BKCABM_11105,GAHHJF_04505
group_116,,Peptidase M15A C-terminal domain-containing protein,2,2,1,1,196,,,,720,723,721.5,BKCABM_11445,GAHHJF_12010
nuoJ,nuoJ,NADH-quinone oxidoreductase subunit J,2,2,1,1,194,,,,522,522,522,BKCABM_05895,GAHHJF_11410
nuoL,nuoL,NADH-quinone oxidoreductase subunit L,2,2,1,1,193,,,,1890,1896,1893,BKCABM_05885,GAHHJF_11400
rpsG,rpsG,30S ribosomal protein S7,2,2,1,1,189,,,,471,471,471,BKCABM_17260,GAHHJF_10720
kdsA,kdsA,3-deoxy-8-phosphooctulonate synthase,2,2,1,1,186,,,,858,858,858,BKCABM_10510,GAHHJF_01310
ftsB,ftsB,Cell division protein FtsB;cell division protein FtsB,2,2,1,1,185,,,,396,462,429,BKCABM_10500,GAHHJF_01300
rpsU,rpsU,30S ribosomal protein S21,2,2,1,1,178,,,,216,216,216,BKCABM_04030,GAHHJF_02595
fabB,fabB,3-oxoacyl-(acyl-carrier-protein) synthase,2,2,1,1,82,,,,1227,1230,1228.5,BKCABM_17245,GAHHJF_10735
group_880,,Nuclear transport factor 2 family protein,1,1,1,6,6,,,,369,369,369,BKCABM_16920,
group_878,,RND transporter,1,1,1,6,3,,,,1011,1011,1011,BKCABM_16930,
group_877,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,1,1,1,5,8,,,,1092,1092,1092,,GAHHJF_15080
group_876,,Membrane fusogenic activity,1,1,1,5,7,,,,228,228,228,,GAHHJF_15100
ribD,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,1,1,1,5,6,,,,1104,1104,1104,BKCABM_16605,
ubiK,ubiK,Accessory factor UbiK family protein,1,1,1,5,3,,,,228,228,228,BKCABM_16625,
group_873,,Zinc ABC transporter substrate-binding protein,1,1,1,4,16,,,,843,843,843,,GAHHJF_12885
group_870,,DUF523 domain-containing protein,1,1,1,4,3,,,,402,402,402,BKCABM_13435,
group_868,,Zinc ABC transporter substrate-binding protein,1,1,1,4,1,,,,840,840,840,BKCABM_13415,
group_867,,PNPLA domain-containing protein,1,1,1,3,330,,,,1077,1077,1077,BKCABM_09930,
group_866,leuB,3-isopropylmalate dehydrogenase,1,1,1,3,329,,,,1080,1080,1080,,GAHHJF_10045
group_865,,DUF456 domain-containing protein,1,1,1,3,328,,,,234,234,234,,GAHHJF_10615
leuB,leuB,3-isopropylmalate dehydrogenase,1,1,1,3,327,,,,1080,1080,1080,BKCABM_09515,
group_864,,DUF2061 domain-containing protein,1,1,1,3,326,,,,237,237,237,BKCABM_09535,
group_863,,DUF2061 domain-containing protein,1,1,1,3,324,,,,243,243,243,,GAHHJF_10065
slyX,slyX,SlyX protein,1,1,1,3,323,,,,246,246,246,,GAHHJF_09980
group_862,,Metallo-beta-lactamase domain-containing protein,1,1,1,3,322,,,,645,645,645,BKCABM_09760,
group_861,,Lipoprotein,1,1,1,3,321,,,,645,645,645,BKCABM_09665,
group_860,,DUF2789 domain-containing protein,1,1,1,3,320,,,,246,246,246,BKCABM_09550,
group_859,,Phi X174 lysis protein,1,1,1,3,319,,,,246,246,246,BKCABM_09440,
rpmE2,rpmE2,type B 50S ribosomal protein L31,1,1,1,3,318,,,,249,249,249,,GAHHJF_10190
group_858,,HAD-IB family hydrolase,1,1,1,3,317,,,,651,651,651,,GAHHJF_10080
group_857,leuD,3-isopropylmalate dehydratase small subunit,1,1,1,3,316,,,,651,651,651,,GAHHJF_10055
group_856,,Putative hydrolase haloacid dehalogenase-like family,1,1,1,3,315,,,,651,651,651,BKCABM_09555,
leuD,leuD,3-isopropylmalate dehydratase small subunit,1,1,1,3,314,,,,651,651,651,BKCABM_09525,
group_855,,Glycosyltransferase subfamily 4-like N-terminal domain-containing protein,1,1,1,3,313,,,,1107,1107,1107,,GAHHJF_09995
group_854,tusA,sulfurtransferase TusA,1,1,1,3,312,,,,258,258,258,,GAHHJF_10235
group_853,,tRNA (guanine(46)-N(7))-methyltransferase,1,1,1,3,311,,,,654,654,654,BKCABM_09745,
tusA,tusA,sulfurtransferase TusA,1,1,1,3,310,,,,258,258,258,BKCABM_09795,
group_852,,Endonuclease/exonuclease/phosphatase domain-containing protein,1,1,1,3,309,,,,1110,1110,1110,BKCABM_09460,
